year,Null count,Month
1970,490,06
1971,498,08
1972,492,05
1973,545,08
1974,523,06
1975,485,05
1976,432,01
1977,414,05
1978,394,07
1979,402,08
1980,410,11
1981,418,08
1982,383,01
1983,363,05
1984,345,08
1985,338,04
1986,336,08
1987,328,08
1988,332,08
1989,348,06
1990,344,08
1991,404,05
1992,361,06
1993,347,08
1994,337,04
1995,299,05
1996,265,04
1997,247,05
1998,218,08
1999,216,04
2000,204,03
2001,184,08
2002,185,01
2003,162,09
2004,183,12
2005,180,02
2006,161,01
2007,167,04
2008,184,04
2009,153,04
2010,180,04
2011,129,05
2012,112,02
2013,100,03
2014,96,02
2015,90,01
2016,104,09
2017,76,03
2018,156,03
2019,138,04
2020,135,11
2021,130,02
2022,121,01
2023,119,04
2024,111,04
